1577708659,25.70,25.58,9,12,5
1577708679,25.82,25.28,9,12,6
1577708700,24.78,20.16,9,13,6
1577708721,22.68,19.57,9,13,6
1577708742,20.53,20.73,9,13,6
1577708762,19.04,22.80,9,13,6
1577708783,17.80,24.04,9,13,6
1577708804,16.77,25.07,9,13,6
1577708825,16.29,26.08,9,13,6
1577708845,15.94,26.82,9,13,6
1577708866,15.48,27.12,9,13,6
1577708887,15.14,27.69,9,13,6
1577708908,14.71,28.07,9,13,6
1577708928,14.68,29.19,9,13,6
1577708949,14.63,28.89,9,13,6
1577708970,14.53,28.68,9,13,6
1577708991,14.27,28.84,9,13,6
1577709011,14.01,28.96,10,13,6
1577709032,13.82,29.12,10,13,6
1577709053,13.70,29.47,10,13,6
1577709074,13.63,29.73,10,13,6
1577709094,13.95,29.32,10,13,6
1577709115,13.67,28.77,10,13,6
1577709136,13.53,29.27,10,13,6
1577709157,13.58,29.56,10,13,6
1577709177,13.56,29.26,10,13,6
1577709198,13.43,29.47,10,13,6
1577709219,13.25,29.18,10,13,6
1577709240,13.05,29.58,10,13,6
1577709260,12.83,29.82,10,13,6
1577709281,12.90,30.04,10,13,6
1577709302,12.94,30.10,10,13,6
1577709322,12.81,29.97,10,13,6
1577709343,12.65,30.16,10,13,6
1577709364,12.72,30.21,10,13,6
1577709385,12.60,29.98,10,13,6
1577709405,12.45,30.28,10,13,6
1577709426,12.52,30.24,10,13,6
1577709447,12.37,30.54,10,13,6
1577709468,12.49,30.57,10,13,6
1577709488,12.63,30.51,10,13,6
1577709509,12.42,30.16,10,13,6
1577709530,12.24,30.38,10,13,6
1577709551,12.23,30.46,10,13,6
1577709571,12.25,30.53,10,14,6
1577709592,12.20,30.69,10,14,6
1577709613,12.24,30.91,10,14,6
1577709634,12.10,30.95,10,14,6
1577709654,12.00,31.09,10,14,6
1577709675,11.79,31.14,10,14,6
1577709696,11.73,31.27,10,14,6
1577709717,11.64,31.48,10,14,6
1577709737,11.58,31.79,10,14,6
1577709758,11.51,31.78,10,14,6
1577709779,11.53,31.88,10,14,6
1577709800,11.53,31.83,10,14,6
1577709820,11.58,31.60,10,14,6
1577709841,11.61,31.56,10,14,6
1577709862,11.94,31.45,10,14,6
1577709883,12.35,30.91,10,14,6
1577709903,12.66,30.41,10,14,6
1577709924,12.76,29.87,10,14,6
1577709945,12.60,29.75,10,14,6
1577709966,12.14,29.95,10,14,6
1577709986,11.93,30.57,10,14,6
1577710007,11.86,31.02,10,14,6
1577710028,11.81,31.06,10,14,6
1577710049,11.68,31.25,10,14,6
1577710069,11.55,31.54,10,14,6
1577710090,11.40,31.71,10,14,6
1577710111,11.40,31.82,10,14,6
1577710132,11.37,31.77,10,14,6
1577710152,11.34,31.91,10,14,6
1577710173,11.27,32.10,10,14,6
1577710194,11.15,32.34,10,14,6
1577710215,11.39,32.26,10,14,6
1577710235,11.57,32.04,10,14,6
1577710256,11.41,31.78,10,14,6
1577710277,11.36,32.10,10,14,6
1577710297,11.48,31.95,10,14,6
1577710318,11.22,31.74,10,14,6
1577710339,11.19,32.10,10,14,6
1577710360,11.41,32.16,10,14,6
1577710380,11.82,31.70,10,14,6
1577710401,11.75,31.12,10,14,6
1577710422,11.68,31.25,10,14,6
1577710443,11.36,31.59,10,14,6
1577710463,11.13,31.99,10,15,6
1577710484,11.06,32.08,10,15,6
1577710505,11.05,32.49,10,15,6
1577710526,10.88,32.70,10,15,6
1577710546,10.84,32.79,10,15,6
1577710567,11.00,32.70,10,15,6
1577710588,11.06,32.71,10,15,6
1577710609,10.95,32.55,10,15,6
1577710629,10.81,32.61,10,15,6
1577710650,10.85,32.94,10,15,6
1577710671,10.61,32.95,10,15,6
1577710692,10.60,33.18,10,15,6
1577710712,10.68,33.14,10,15,6
1577710733,10.59,33.12,10,15,6
1577710754,10.47,33.25,10,15,6
1577710775,10.36,33.66,10,15,6
1577710795,10.43,33.93,10,15,6
1577710816,10.40,33.92,11,15,6
1577710837,10.57,33.48,11,15,6
1577710858,10.57,33.51,10,15,6
1577710878,10.85,33.22,11,15,6
1577710899,10.82,32.91,11,15,6
